asset_id,role,status,source,source_locator,local_file,sha256,notes
HF-LOGO-001,Selected STAY open-threshold symbol,APPROVED_AND_DEPLOYED,Higgsfield Recraft V4.1 job 9bcd9a39-52a7-457c-96b2-d3e23ce242cc,https://d8j0ntlcm91z4.cloudfront.net/user_35MJ2aWMmEoqYSm4FasjQsplt4C/hf_20260902_125620_9bcd9a39-52a7-457c-96b2-d3e23ce242cc.svg,assets/submission/stay-open-threshold-logo.svg,39b46b75f95336968834bb340879f411001900051d657e2e854f298bbd1194df,Selected from three 2K vector candidates; geometry fingerprint b31ec83fb5ed001361de02f7278fa27b05012f1266a0c926d74b43c49a1632f2
BRAND_01,Transparent 2048 px logo export,DERIVED_APPROVED,Higgsfield approved export,HF-LOGO-001,assets/submission/stay-open-threshold-logo-2048.png,6fac5fe5c3110b12e408d4a6b3be031ecfceee86027cdaa07c6115d764c1e1a2,Exact raster export of the selected vector geometry
BRAND_02,Browser favicon,DERIVED_APPROVED,Deterministic raster derivative,HF-LOGO-001,apps/web/public/icons/favicon-32.png,ab23632d3b4f2dcd38fdd6097db52631efa8785df15e10dba55b8125233c3cfb,32 px derivative of the selected mark
BRAND_03,Maskable PWA icon,DERIVED_APPROVED,Deterministic raster derivative,HF-LOGO-001,apps/web/public/icons/icon-maskable-512.png,69f3e7db2ec7c233ca6c5ac1ec40d634a1237bb07f06622f0a47495e1066987b,512 px maskable-safe derivative of the selected mark
BRAND_04,Social and link preview,DERIVED_APPROVED,Repository-native composition,apps/web/public/brand/stay-social-card.svg,apps/web/public/brand/stay-social-card.png,ea4b082dfa796f849bac473fc1e90582541e662a825224ba5c64bc8dfa7cc0b5,1200 by 630 composition using the exact selected mark with a bounded strapline; source SVG SHA-256 f71ce8950f07b596fda368d4691fb23a4ab9333467c5a68ea40bba0b87534e4b
CAP_01,Home desktop screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/01-home-desktop.png,2b3b861b493b7423048372c6adf0758000a285443af718d8bdf8dee6631dccd7,Direct Playwright capture from the full-workflow custom-domain deployment
CAP_02,Access desktop screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/02-access-desktop.png,d25613ce0435cbdba2a638d359784b8f6b98dac945650a354f9a229fdc7a69ef,Direct Playwright capture from the full-workflow custom-domain deployment
CAP_03,Privacy desktop screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/03-privacy-desktop.png,8043c44cc3c4c85796b7ff294a503af25195fe8a98585a03cc0143d2f2c642ab,Direct Playwright capture from the full-workflow custom-domain deployment
CAP_04,Protected Tom on the way screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/04-tom-on-the-way-desktop.png,679e1660d1a35501377e55cfadc050d8b29b633a2a75b85b88939deac7b5e757,Direct deterministic protected-sequence capture with responding state and accepted timeline visible after full-workflow deployment
CAP_05,Emergency boundary screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/05-emergency-boundary-desktop.png,dd7a7f1b1bc3ff6188ac0b8712b6e594210a04413e0d0e1a569cdfeec3da9240,Direct custom-domain capture with the supplementary-service response visible after full-workflow deployment
CAP_06,Mobile home screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/06-home-mobile.png,b662ddddeca63dfcff3755b4218999e6e44449a5365a2e6728cdc87e802ba541,390 px full-page capture from the responsive full-workflow custom-domain deployment
CAP_06B,Mobile updates panel screenshot,VERIFIED_DEPLOYED_CANDIDATE,Public AWS demo,https://saystay.site,assets/submission/screenshots/07-mobile-updates.png,d719bfcddfffd8f1be5db76467d37620c37acaa600c1ab57718e34b852ef17d7,390 px viewport capture showing the functional Help Board and home-status updates surface after full-workflow deployment
CAP_07,Product walkthrough capture,VERIFIED_LOCAL_CANDIDATE,Verified local STAY build,http://127.0.0.1:3000,assets/submission/video/stay-screen-capture.webm,ab179789de6f418f96fd0bdfc2003d1703da17431120ecb7673f95f732fee4be,Real product capture used in the final edit; not deployed evidence
CARD_01,Submission title card,VERIFIED_LOCAL_CANDIDATE,Repository-native composition,assets/submission/video/cards/01-title-card.svg,assets/submission/video/cards/01-title-card.png,eaf86ad5a49dcc57ace991c0941c37e17b3363f1572c3ec47d68f823bf9c289a,Flat deterministic render using the exact selected logo
CARD_02,Submission architecture card,VERIFIED_LOCAL_CANDIDATE,Repository-native SVG,assets/submission/video/cards/02-architecture-card.svg,assets/submission/video/cards/02-architecture-card.png,0cf7cb3cbb6471419e0ba7be7efa5e4ca4d92689fb10b061b231d16024cf38b3,Flat deterministic render; visually inspected
CARD_03,Submission close card,VERIFIED_LOCAL_CANDIDATE,Repository-native composition,assets/submission/video/cards/03-close-card.svg,assets/submission/video/cards/03-close-card.png,50410fd8379b436e96fc592acadeb3030df5193e7b273c508926b6971771edd4,Contains https://saystay.site and the exact selected logo
THUMB_01,YouTube thumbnail,VERIFIED_DEPLOYED_CANDIDATE,Real deployed product capture,CAP_04,assets/submission/video/STAY_YouTube_Thumbnail.png,0e336c110fd27bb5402c17822b5d2ce55220cff4d7df51389f4428f4c19ee46f,Compelling Screenshot framework; no generated interface or fake text
CAPTION_01,English submission captions,VERIFIED_LOCAL_CANDIDATE,Measured approved narration,docs/media-production/VOICEOVER_SCRIPT.md,assets/submission/video/STAY_DEMO.en.srt,fcab449f8aa01383682b497d2357e7c3a98b845c94316463faf06753d722fbcc,34 cues ending at 2 minutes 38.900 seconds
MASTER_00,Picture-only submission master,VERIFIED_LOCAL_CANDIDATE,Repository media pipeline,apps/web/scripts/render-submission-video.mjs,assets/submission/video/stay-picture-master.mp4,74e6edc17fae2b85109d09f19da06cbdb1c94cc885cb70a76321656222282526,170 seconds H264 1920 by 1080 30 fps with saystay.site close card
MASTER_01,Final audible Devpost master,VERIFIED_LOCAL_CANDIDATE,Repository media pipeline,apps/web/scripts/render-submission-video.mjs,assets/submission/video/STAY_Devpost_Demo_MASTER_v01.mp4,63354dc8a1a25809bb530aed28d417279c941da97817636cf3a825b00814f00c,170 seconds H264 High 1080p30 plus AAC 48 kHz stereo; final human watch and listen remains required
